Date,Open,High,Low,Close,Adj Close,Volume
2021-02-08,54.849998,54.950001,53.000000,53.900002,53.900002,1649800
2021-02-09,53.450001,59.400002,53.099998,57.799999,57.799999,9105752
2021-02-10,58.099998,63.500000,57.299999,61.349998,61.349998,9492301
2021-02-11,61.349998,68.300003,60.200001,66.199997,66.199997,10592457
2021-02-12,66.650002,73.599998,66.449997,72.000000,72.000000,8678262
2021-02-15,73.000000,75.000000,69.500000,70.800003,70.800003,3295441
2021-02-16,70.150002,70.199997,65.750000,66.250000,66.250000,2122427
2021-02-17,65.800003,69.349998,65.800003,67.800003,67.800003,1402819
2021-02-18,68.349998,72.500000,67.599998,69.599998,69.599998,1853388
2021-02-19,69.750000,72.500000,67.500000,69.650002,69.650002,1999426
2021-02-22,70.500000,71.449997,66.800003,67.750000,67.750000,1596807
2021-02-23,68.000000,71.300003,68.000000,69.699997,69.699997,1564224
2021-02-24,70.300003,75.699997,70.000000,72.199997,72.199997,2910232
2021-02-25,73.000000,77.800003,73.000000,76.150002,76.150002,4551707
2021-02-26,74.400002,83.400002,73.150002,80.400002,80.400002,6669299
2021-03-01,81.349998,84.500000,78.050003,78.699997,78.699997,2210565
2021-03-02,79.500000,79.949997,76.849998,77.550003,77.550003,955941
2021-03-03,78.150002,78.849998,75.750000,76.099998,76.099998,1211873
2021-03-04,75.900002,80.150002,75.599998,77.599998,77.599998,2103276
2021-03-05,80.000000,82.849998,77.099998,78.449997,78.449997,3302181
2021-03-08,79.000000,79.500000,78.000000,78.650002,78.650002,763745
2021-03-09,79.199997,79.349998,75.099998,76.900002,76.900002,877731
2021-03-10,77.199997,77.650002,75.449997,75.949997,75.949997,493388
2021-03-12,76.099998,76.750000,73.000000,74.500000,74.500000,688393
2021-03-15,74.650002,75.000000,70.800003,74.099998,74.099998,747823
2021-03-16,74.699997,76.449997,73.500000,74.400002,74.400002,1112095
2021-03-17,74.550003,75.000000,71.000000,71.550003,71.550003,619146
2021-03-18,72.199997,72.800003,68.000000,68.650002,68.650002,769899
2021-03-19,67.000000,70.849998,64.050003,69.650002,69.650002,1195551
2021-03-22,70.949997,73.900002,68.550003,72.349998,72.349998,1033524
2021-03-23,72.650002,73.949997,70.849998,71.599998,71.599998,525811
2021-03-24,71.699997,72.000000,66.400002,67.099998,67.099998,863720
2021-03-25,68.349998,68.650002,63.099998,64.349998,64.349998,1630318
2021-03-26,65.099998,66.599998,63.599998,66.150002,66.150002,1303489
2021-03-30,66.300003,68.000000,65.800003,66.550003,66.550003,742241
2021-03-31,66.500000,66.900002,65.550003,65.849998,65.849998,450238
2021-04-01,66.000000,69.400002,66.000000,69.099998,69.099998,947908
2021-04-05,69.449997,69.500000,62.150002,66.300003,66.300003,927596
2021-04-06,66.750000,68.250000,65.349998,66.699997,66.699997,1010310
2021-04-07,67.199997,68.699997,65.900002,68.300003,68.300003,1284220
2021-04-08,68.300003,69.699997,67.550003,68.199997,68.199997,1013719
2021-04-09,67.449997,69.349998,66.599998,67.099998,67.099998,999800
2021-04-12,64.800003,65.400002,60.000000,61.049999,61.049999,1803473
2021-04-13,61.000000,64.400002,60.849998,63.849998,63.849998,712496
2021-04-15,61.900002,63.799999,61.500000,62.700001,62.700001,724205
2021-04-16,62.849998,64.250000,62.099998,62.549999,62.549999,559678
2021-04-19,60.900002,60.900002,59.000000,59.349998,59.349998,996167
2021-04-20,59.900002,61.599998,59.900002,60.599998,60.599998,760153
2021-04-22,59.000000,61.349998,59.000000,61.000000,61.000000,550247
2021-04-23,60.849998,62.549999,60.099998,60.500000,60.500000,728411
2021-04-26,60.400002,62.000000,60.150002,60.599998,60.599998,960991
2021-04-27,61.000000,61.750000,60.450001,61.150002,61.150002,717817
2021-04-28,61.349998,69.349998,61.349998,67.699997,67.699997,4075401
2021-04-29,67.800003,69.250000,66.150002,67.449997,67.449997,966414
2021-04-30,67.699997,67.699997,65.599998,65.800003,65.800003,510481
2021-05-03,65.000000,71.449997,63.599998,70.349998,70.349998,2301769
2021-05-04,72.250000,74.900002,70.050003,70.550003,70.550003,4517092
2021-05-05,71.150002,73.250000,70.349998,72.949997,72.949997,1245701
2021-05-06,73.449997,74.900002,71.250000,73.599998,73.599998,1893922
2021-05-07,74.150002,74.150002,72.099998,73.599998,73.599998,1118424
2021-05-10,77.000000,77.000000,74.199997,75.099998,75.099998,3120900
2021-05-11,74.000000,75.800003,73.250000,74.800003,74.800003,876681
2021-05-12,74.500000,76.300003,73.000000,73.400002,73.400002,824779
2021-05-14,73.800003,73.900002,71.000000,71.849998,71.849998,672402
2021-05-17,72.699997,76.500000,72.000000,74.949997,74.949997,1559171
2021-05-18,74.949997,76.250000,73.800003,74.599998,74.599998,805232
2021-05-19,74.000000,77.449997,73.199997,75.349998,75.349998,1220157
2021-05-20,75.349998,80.000000,74.199997,78.250000,78.250000,3501641
2021-05-21,78.849998,79.800003,77.500000,77.949997,77.949997,1112043
2021-05-24,78.550003,79.349998,75.800003,77.099998,77.099998,828751
2021-05-25,77.699997,79.000000,76.800003,77.150002,77.150002,859188
2021-05-26,77.750000,83.750000,76.500000,78.500000,78.500000,7555857
2021-05-27,78.500000,79.500000,76.800003,77.050003,77.050003,1420513
2021-05-28,77.900002,79.449997,77.099998,77.550003,77.550003,1292165
2021-05-31,77.849998,81.300003,76.500000,80.099998,80.099998,2317736
2021-06-01,80.699997,81.599998,76.599998,78.099998,78.099998,1424599
2021-06-02,78.099998,80.599998,78.099998,79.949997,79.949997,1284975
2021-06-03,80.599998,81.000000,78.650002,79.099998,79.099998,1112044
2021-06-04,79.400002,80.150002,78.300003,78.599998,78.599998,733077
2021-06-07,78.949997,80.150002,78.250000,78.500000,78.500000,957518
2021-06-08,79.000000,80.000000,78.349998,79.050003,79.050003,1257744
2021-06-09,79.599998,84.250000,79.150002,82.000000,82.000000,4222029
2021-06-10,82.650002,88.300003,82.300003,87.449997,87.449997,5392416
2021-06-11,88.599998,89.300003,84.349998,85.349998,85.349998,1739145
2021-06-14,85.349998,89.500000,82.050003,86.949997,86.949997,1886402
2021-06-15,86.949997,88.550003,85.900002,86.300003,86.300003,907185
2021-06-16,86.099998,86.750000,84.000000,84.449997,84.449997,725378
2021-06-17,83.599998,87.400002,83.000000,84.449997,84.449997,865213
2021-06-18,84.949997,85.000000,78.500000,81.750000,81.750000,1176929
2021-06-21,80.699997,83.000000,79.199997,80.949997,80.949997,643577
2021-06-22,82.250000,84.300003,80.949997,81.300003,81.300003,1173609
2021-06-23,81.949997,83.000000,80.000000,80.599998,80.599998,838437
2021-06-24,82.000000,82.000000,80.050003,80.449997,80.449997,388620
2021-06-25,80.650002,81.000000,78.449997,78.949997,78.949997,632517
2021-06-28,79.449997,80.550003,79.000000,79.550003,79.550003,418769
2021-06-29,80.000000,80.199997,78.500000,78.949997,78.949997,757324
2021-06-30,79.000000,80.449997,78.199997,78.500000,78.500000,543540
2021-07-01,78.500000,80.500000,77.699997,77.900002,77.900002,851943
2021-07-02,78.500000,81.449997,78.000000,80.699997,80.699997,1239623
2021-07-05,82.250000,87.449997,81.550003,86.349998,86.349998,3569920
2021-07-06,86.800003,92.199997,86.550003,89.250000,89.250000,6488574
2021-07-07,89.650002,90.150002,86.500000,88.550003,88.550003,1123741
2021-07-08,89.900002,91.349998,86.849998,88.500000,88.500000,1412192
2021-07-09,88.000000,91.000000,87.300003,88.099998,88.099998,1681308
2021-07-12,89.599998,96.000000,89.599998,95.550003,95.550003,6414548
2021-07-13,96.849998,102.500000,93.500000,99.500000,99.500000,5495585
2021-07-14,101.400002,110.800003,101.050003,107.300003,107.300003,11944084
2021-07-15,110.000000,110.800003,106.550003,108.900002,108.900002,4820885
2021-07-16,109.550003,112.000000,107.800003,108.150002,108.150002,3242945
2021-07-19,105.500000,111.000000,102.000000,105.050003,105.050003,4011932
2021-07-20,104.800003,105.949997,100.150002,102.199997,102.199997,1681246
2021-07-22,103.150002,111.800003,103.099998,108.599998,108.599998,3248127
2021-07-23,109.000000,109.400002,104.000000,104.849998,104.849998,1433361
2021-07-26,104.000000,105.650002,100.500000,102.099998,102.099998,2125848
2021-07-27,102.300003,104.699997,96.449997,102.300003,102.300003,1584303
2021-07-28,103.000000,109.000000,100.050003,106.300003,106.300003,3530311
2021-07-29,106.000000,115.550003,105.000000,106.900002,106.900002,6384310
2021-07-30,106.699997,107.250000,103.599998,104.000000,104.000000,1749886
2021-08-02,105.099998,106.949997,104.650002,105.900002,105.900002,1984634
2021-08-03,106.699997,109.949997,106.000000,108.199997,108.199997,3708228
2021-08-04,108.849998,110.000000,107.500000,108.199997,108.199997,2792312
2021-08-05,108.000000,108.599998,102.750000,105.849998,105.849998,4098820
2021-08-06,102.000000,104.500000,100.650002,101.800003,101.800003,1558669
2021-08-09,102.000000,102.699997,96.849998,97.500000,97.500000,1269228
2021-08-10,97.099998,99.900002,90.000000,93.300003,93.300003,1391940
2021-08-11,94.000000,97.800003,84.599998,96.300003,96.300003,3675819
2021-08-12,98.099998,101.500000,98.000000,100.050003,100.050003,1276045
2021-08-13,100.050003,101.949997,96.800003,98.050003,98.050003,985620
2021-08-16,97.500000,99.699997,95.000000,95.349998,95.349998,790249
2021-08-17,95.400002,97.300003,92.000000,92.800003,92.800003,910588
2021-08-18,95.800003,95.800003,90.500000,94.050003,94.050003,1155397
2021-08-20,93.000000,93.900002,89.400002,90.150002,90.150002,824445
2021-08-23,91.000000,91.400002,84.349998,85.849998,85.849998,960455
2021-08-24,86.099998,93.900002,85.000000,93.250000,93.250000,1023327
2021-08-25,94.000000,94.599998,90.000000,91.250000,91.250000,692345
2021-08-26,91.650002,93.449997,90.500000,91.050003,91.050003,520067
2021-08-27,91.500000,92.000000,90.349998,91.050003,91.050003,480789
2021-08-30,91.849998,94.800003,91.400002,92.750000,92.750000,524778
2021-08-31,93.000000,93.349998,90.000000,90.500000,90.500000,650667
2021-09-01,90.900002,91.849998,89.599998,90.449997,90.449997,570841
2021-09-02,91.000000,96.699997,90.550003,93.550003,93.550003,1685482
2021-09-03,94.000000,94.449997,92.199997,92.699997,92.699997,989151
2021-09-06,92.699997,94.000000,91.800003,92.849998,92.849998,705149
2021-09-07,93.199997,93.949997,91.199997,93.199997,93.199997,1074596
2021-09-08,95.000000,101.000000,95.000000,98.199997,98.199997,6268442
2021-09-09,99.400002,100.000000,96.849998,97.449997,97.449997,1539781
2021-09-13,98.000000,98.349998,96.099998,97.849998,97.849998,804435
2021-09-14,98.099998,98.300003,95.300003,95.699997,95.699997,754855
2021-09-15,95.699997,97.300003,95.199997,95.849998,95.849998,525572
2021-09-16,97.000000,97.699997,93.500000,94.400002,94.400002,792290
2021-09-17,94.849998,95.300003,92.550003,94.199997,94.199997,697013
2021-09-20,93.000000,97.449997,92.199997,94.599998,94.599998,1315624
2021-09-21,94.199997,98.000000,92.750000,95.199997,95.199997,1524040
2021-09-22,95.300003,98.750000,94.699997,97.099998,97.099998,2835383
2021-09-23,97.699997,101.849998,96.900002,97.599998,97.599998,3549375
2021-09-24,98.000000,100.599998,95.000000,95.900002,95.900002,1526225
2021-09-27,96.099998,98.849998,94.800003,95.300003,95.300003,1727089
2021-09-28,95.949997,97.250000,94.000000,95.250000,95.250000,1034245
2021-09-29,94.650002,96.699997,94.400002,94.699997,94.699997,861992
2021-09-30,95.150002,96.300003,94.000000,94.449997,94.449997,982240
2021-10-01,93.750000,95.500000,93.550003,94.449997,94.449997,860412
2021-10-04,94.900002,103.900002,94.849998,102.800003,102.800003,5214227
2021-10-05,103.550003,111.400002,103.550003,108.699997,108.699997,8673171
2021-10-06,109.199997,111.349998,101.349998,103.699997,103.699997,6020682
2021-10-07,104.949997,106.449997,103.500000,104.199997,104.199997,2032362
2021-10-08,104.250000,105.300003,102.250000,102.650002,102.650002,1131159
2021-10-11,103.500000,109.949997,103.500000,107.800003,107.800003,4037666
2021-10-12,106.650002,109.500000,105.000000,106.300003,106.300003,1445738
2021-10-13,107.199997,127.550003,107.099998,127.550003,127.550003,12916592
2021-10-14,128.500000,129.750000,118.900002,120.400002,120.400002,5552998
